id,label,interactions
Flight Star Maintenance,Flight Star Maintenance,1
Gulfstream V aircraft,Gulfstream V aircraft,1
Edward Rod Larsen,Edward Rod Larsen,1
Bob Iger,Bob Iger,1
Florida Bulldog article,Florida Bulldog article,1
partnership interest in real estate,partnership interest in real estate,1
IRS,IRS,1
unnamed scientist,unnamed scientist,1
policy issues,policy issues,1
Masa,Masa,2
ban,ban,1
reporter calls regarding Trump,reporter calls regarding Trump,1
Secret Service,Secret Service,1
call,call,1
news,news,1
Rei Weingarten,Rei Weingarten,2
BBJ,BBJ,1
BBJ specification,BBJ specification,1
unknown person A (TEXT-002-HOUSE_OVERSIGHT_032682),unknown person A (TEXT-002-HOUSE_OVERSIGHT_032682),8
apartment and accommodation arrangements,apartment and accommodation arrangements,1
geopolitical events in Saudi Arabia,geopolitical events in Saudi Arabia,1
Saudi investor conference,Saudi investor conference,1
White House,White House,1
luck,luck,1
unknown person B (TEXT-002-HOUSE_OVERSIGHT_032531),unknown person B (TEXT-002-HOUSE_OVERSIGHT_032531),1
Futurism editor,Futurism editor,2
5 s,5 s,1
real trades,real trades,1
market activity,market activity,1
others' sales,others' sales,1
January 20,January 20,1
statistics,statistics,1
Larry Lvjet,Larry Lvjet,1
relaxation machine,relaxation machine,1
inauguration,inauguration,1
Trump crowd,Trump crowd,1
Thorbjon JagIan,Thorbjon JagIan,1
Trump lawsuit,Trump lawsuit,1
Eric Kopeloff,Eric Kopeloff,1
Ed Pressman,Ed Pressman,1
Jamie Rosenwald,Jamie Rosenwald,1
unnamed clients,unnamed clients,1
Ariana Huff,Ariana Huff,2
Inside Job documentary,Inside Job documentary,1
Inside Job,Inside Job,1
celebratory and powerful attendees,celebratory and powerful attendees,1
Salvator Mundi painting provenance,Salvator Mundi painting provenance,1
art dealer (unknown),art dealer (unknown),1
unspecified business or personal matter,unspecified business or personal matter,1
Saudi leadership,Saudi leadership,1
no good handle without digging,no good handle without digging,1
BlackRock,BlackRock,1
wealthy Norwegian girl,wealthy Norwegian girl,1
David Asch,David Asch,1
Betty Currie,Betty Currie,1
Jeannie Rhee,Jeannie Rhee,1
Trump corporation,Trump corporation,1
Michael Wolffe,Michael Wolffe,1
McGann,McGann,3
flyinn plea,flyinn plea,1
sexual assault allegations against Bill Clinton,sexual assault allegations against Bill Clinton,1
unknown person A (TEXT-001-HOUSE_OVERSIGHT_031492),unknown person A (TEXT-001-HOUSE_OVERSIGHT_031492),1
Lauren Petrella,Lauren Petrella,2
social relationships with younger women,social relationships with younger women,1
manuscript language,manuscript language,1
"Google search results for ""Jeffrey Epstein""","Google search results for ""Jeffrey Epstein""",1
